Customer ID,Segment,Region,Acquisition Date,Lifetime Revenue,Orders,Churn Risk Score
CUS-0001,Basic,West,2023-12-04,1521.66,35,76.4
CUS-0002,Standard,East,2023-06-29,602.82,27,0.3
CUS-0003,Basic,East,2024-02-19,1483.6,2,64.2
CUS-0004,Premium,North,2024-07-30,1692.65,31,82.6
CUS-0005,Premium,East,2023-01-24,456.96,32,76.7
CUS-0006,Premium,South,2024-01-08,3628.86,5,14.7
CUS-0007,Basic,West,2024-06-30,1300.71,37,84.4
CUS-0008,Premium,South,2023-03-15,451.12,8,7.9
CUS-0009,Basic,West,2023-09-09,1155.88,3,6.6
CUS-0010,Standard,West,2023-02-12,1693.55,22,82.3
CUS-0011,Standard,East,2023-03-06,1130.83,27,18.3
CUS-0012,Basic,West,2024-08-05,797.66,4,44.7
CUS-0013,Standard,South,2023-05-31,29.78,7,93.7
CUS-0014,Premium,South,2023-04-13,278.49,26,20.9
CUS-0015,Standard,West,2024-06-20,1225.05,4,78.1
CUS-0016,Basic,South,2023-06-12,273.55,33,58.4
CUS-0017,Premium,East,2023-06-16,1056.25,11,40.6
CUS-0018,Premium,East,2024-05-20,1474.78,33,45.9
CUS-0019,Basic,East,2024-03-30,601.03,29,41.0
CUS-0020,Premium,East,2023-11-29,135.88,13,82.7
CUS-0021,Premium,East,2024-05-23,342.72,32,81.4
CUS-0022,Basic,East,2023-05-17,1231.88,8,37.3
CUS-0023,Basic,South,2024-04-23,2061.66,19,69.7
CUS-0024,Standard,West,2024-02-03,102.16,38,53.2
CUS-0025,Basic,South,2023-12-09,715.32,35,74.8
CUS-0026,Basic,South,2023-08-11,177.55,36,5.0
CUS-0027,Premium,North,2023-03-14,721.55,6,33.6
CUS-0028,Standard,East,2023-12-15,577.48,13,33.6
CUS-0029,Basic,East,2024-04-26,5565.55,3,59.7
CUS-0030,Standard,North,2023-02-28,409.56,35,20.8
CUS-0031,Standard,South,2023-04-07,1709.43,31,53.2
CUS-0032,Standard,East,2024-06-12,1649.23,35,98.0
CUS-0033,Premium,North,2024-06-02,558.13,5,4.4
CUS-0034,Standard,East,2023-12-24,740.23,14,50.3
CUS-0035,Premium,East,2023-10-03,665.43,28,13.8
CUS-0036,Basic,North,2023-01-03,340.57,15,58.2
CUS-0037,Premium,North,2024-07-01,315.06,12,24.1
CUS-0038,Premium,North,2023-12-02,459.96,37,90.3
CUS-0039,Premium,West,2023-02-17,238.75,21,31.8
CUS-0040,Basic,West,2023-08-06,423.96,29,95.8
CUS-0041,Standard,South,2024-05-15,557.84,31,0.4
CUS-0042,Standard,West,2024-06-27,769.42,25,83.2
CUS-0043,Standard,North,2024-01-18,991.6,29,26.2
CUS-0044,Standard,West,2023-03-25,557.41,38,20.2
CUS-0045,Basic,North,2023-04-07,332.89,20,88.4
CUS-0046,Standard,South,2023-07-20,975.55,34,30.4
CUS-0047,Premium,West,2024-04-02,1355.42,3,58.4
CUS-0048,Basic,South,2024-04-03,429.54,3,73.7
CUS-0049,Standard,East,2024-03-25,274.69,16,41.9
CUS-0050,Standard,North,2023-05-16,445.13,20,10.1
CUS-0051,Premium,North,2023-07-07,564.87,13,92.2
CUS-0052,Basic,South,2023-07-07,1864.15,35,64.8
CUS-0053,Basic,West,2024-03-13,1241.91,1,89.2
CUS-0054,Standard,North,2024-04-07,663.18,5,76.8
CUS-0055,Premium,North,2023-01-18,3679.83,25,77.4
CUS-0056,Premium,East,2024-03-03,644.64,3,59.0
CUS-0057,Standard,South,2023-08-22,2374.16,8,0.6
CUS-0058,Standard,West,2023-08-04,1996.47,34,88.3
CUS-0059,Standard,West,2023-11-01,1873.53,32,83.1
CUS-0060,Standard,South,2023-10-08,888.07,31,72.7
CUS-0061,Standard,East,2024-08-10,738.84,14,87.8
CUS-0062,Premium,North,2023-11-28,668.23,7,18.4
CUS-0063,Basic,East,2024-05-10,1429.59,13,28.2
CUS-0064,Standard,South,2024-06-16,326.89,8,15.7
CUS-0065,Basic,South,2024-08-12,524.97,10,64.7
CUS-0066,Standard,North,2024-02-01,2981.76,33,43.8
CUS-0067,Premium,West,2024-07-22,1165.67,10,10.3
CUS-0068,Standard,South,2023-12-22,1569.79,9,57.6
CUS-0069,Basic,East,2023-08-10,221.62,10,33.9
CUS-0070,Basic,South,2024-05-01,450.86,6,49.1
CUS-0071,Standard,West,2024-06-13,898.25,34,26.1
CUS-0072,Premium,South,2023-07-02,640.77,36,16.1
CUS-0073,Standard,North,2024-07-31,220.78,8,45.1
CUS-0074,Premium,South,2023-09-24,1317.88,32,22.6
CUS-0075,Standard,North,2023-05-19,1754.06,11,40.5
CUS-0076,Basic,West,2024-02-16,514.49,16,38.2
CUS-0077,Standard,South,2023-05-26,1361.25,39,94.0
CUS-0078,Basic,North,2023-08-31,4130.62,25,18.7
CUS-0079,Standard,North,2023-11-17,2624.89,32,28.6
CUS-0080,Premium,West,2023-10-15,535.64,17,79.2
CUS-0081,Premium,North,2023-03-11,246.37,25,29.6
CUS-0082,Basic,South,2023-04-07,818.23,11,48.0
CUS-0083,Standard,West,2023-02-17,5498.74,29,76.2
CUS-0084,Standard,North,2024-01-02,2217.75,39,0.4
CUS-0085,Premium,East,2024-08-18,661.5,7,95.7
CUS-0086,Standard,East,2024-01-20,2713.57,22,46.3
CUS-0087,Premium,South,2023-12-02,1904.24,11,75.9
CUS-0088,Premium,West,2024-05-28,120.36,25,92.1
CUS-0089,Basic,East,2023-01-15,1729.3,18,87.7
CUS-0090,Basic,East,2023-02-21,740.17,16,22.0
CUS-0091,Basic,East,2024-08-17,304.93,16,55.5
CUS-0092,Basic,West,2024-06-23,722.07,20,41.1
CUS-0093,Standard,West,2023-11-30,965.69,9,53.2
CUS-0094,Standard,East,2023-02-21,325.48,12,78.0
CUS-0095,Standard,West,2023-04-24,597.1,3,35.4
CUS-0096,Premium,South,2024-03-23,493.88,17,47.7
CUS-0097,Basic,South,2023-05-19,1360.67,24,60.8
CUS-0098,Basic,North,2023-12-20,507.12,25,27.1
CUS-0099,Standard,North,2024-03-30,144.04,9,60.7
CUS-0100,Standard,South,2023-09-01,444.63,32,14.9
CUS-0101,Premium,South,2023-10-10,283.81,17,62.2
CUS-0102,Premium,East,2024-07-08,207.55,32,14.3
CUS-0103,Standard,North,2024-08-11,1924.32,32,77.6
