Order ID,Region,Category,Date,Revenue,Cost,Discount,Units Sold,Profit
ORD-000001,East,Furniture,2024-01-25,604.52,379.64,0.34,3,224.88
ORD-000002,East,Clothing,2024-01-23,239.52,140.67,0.13,4,98.85
ORD-000003,East,Groceries,2024-01-19,160.28,116.65,0.08,4,43.63
ORD-000004,East,Furniture,2024-01-02,1000.05,719.42,0.27,5,280.63
ORD-000005,East,Furniture,2024-01-28,176.69,131.51,0.07,1,45.18
ORD-000006,East,Furniture,2024-01-02,567.42,413.15,0.26,3,154.27
ORD-000007,East,Groceries,2024-01-10,95.23,69.76,0.07,3,25.47
ORD-000008,East,Electronics,2024-01-14,797.1,527.54,0.15,4,269.56
ORD-000009,East,Groceries,2024-01-20,149.43,119.22,0.28,4,30.21
ORD-000010,East,Furniture,2024-01-09,999.21,635.26,0.07,5,363.95
ORD-000011,East,Electronics,2024-01-23,949.25,633.44,0.27,4,315.81
ORD-000012,East,Furniture,2024-01-16,522.46,329.92,0.23,3,192.54
ORD-000013,East,Furniture,2024-01-16,864.55,622.39,0.19,5,242.16
ORD-000014,East,Furniture,2024-01-09,690.49,473.84,0.08,4,216.65
ORD-000015,East,Furniture,2024-01-24,785.56,488.55,0.1,5,297.01
ORD-000016,East,Electronics,2024-01-19,627.01,426.06,0.23,3,200.95
ORD-000017,East,Furniture,2024-01-23,498.77,307.17,0.03,3,191.6
ORD-000018,East,Clothing,2024-01-13,226.85,134.9,0.05,4,91.95
ORD-000019,East,Clothing,2024-01-13,177.89,100.64,0.22,3,77.25
ORD-000020,East,Furniture,2024-01-03,767.91,595.53,0.32,5,172.38
ORD-000021,East,Clothing,2024-01-08,210.37,133.57,0.25,3,76.8
ORD-000022,East,Furniture,2024-01-08,642.42,491.74,0.16,4,150.68
ORD-000023,East,Electronics,2024-01-09,905.47,530.06,0.3,4,375.41
ORD-000024,East,Clothing,2024-01-21,185.1,113.46,0.2,3,71.64
ORD-000025,East,Clothing,2024-01-03,245.22,129.48,0.17,4,115.74
ORD-000026,East,Electronics,2024-01-05,1048.92,680.84,0.06,4,368.08
ORD-000027,East,Groceries,2024-01-17,148.35,111.91,0.01,5,36.44
ORD-000028,East,Groceries,2024-01-14,109.03,72.28,0.17,3,36.75
ORD-000029,East,Furniture,2024-01-27,479.54,332.08,0.09,3,147.46
ORD-000030,East,Electronics,2024-01-15,613.26,344.25,0.29,3,269.01
ORD-000031,East,Groceries,2024-01-04,92.73,61.9,0.24,3,30.83
ORD-000032,East,Electronics,2024-01-19,543.99,368.36,0.04,2,175.63
ORD-000033,East,Groceries,2024-01-07,155.86,116.56,0.13,5,39.3
ORD-000034,East,Groceries,2024-01-23,94.22,77.22,0.1,3,17.0
ORD-000035,East,Furniture,2024-01-08,831.99,532.46,0.02,5,299.53
ORD-000036,East,Furniture,2024-01-28,918.83,679.26,0.31,5,239.57
ORD-000037,East,Groceries,2024-01-15,40.94,32.22,0.23,1,8.72
ORD-000038,East,Furniture,2024-01-03,1082.13,710.55,0.33,5,371.58
ORD-000039,East,Electronics,2024-01-04,270.55,157.39,0.06,1,113.16
ORD-000040,East,Furniture,2024-01-25,852.26,566.54,0.27,4,285.72
ORD-000041,East,Groceries,2024-01-15,102.96,66.98,0.08,3,35.98
ORD-000042,East,Electronics,2024-01-19,172.02,109.49,0.24,1,62.53
ORD-000043,East,Furniture,2024-01-06,518.78,380.59,0.26,3,138.19
ORD-000044,East,Electronics,2024-01-04,699.85,433.64,0.11,3,266.21
ORD-000045,East,Furniture,2024-01-19,634.01,418.89,0.32,3,215.12
ORD-000046,East,Electronics,2024-01-16,674.13,387.23,0.05,3,286.9
ORD-000047,East,Furniture,2024-01-28,225.47,173.75,0.28,1,51.72
ORD-000048,East,Furniture,2024-01-22,747.79,471.52,0.29,4,276.27
ORD-000049,East,Clothing,2024-01-07,176.52,107.65,0.3,3,68.87
ORD-000050,East,Clothing,2024-01-12,108.01,66.59,0.3,2,41.42
ORD-000051,East,Furniture,2024-01-07,462.7,341.85,0.29,3,120.85
ORD-000052,East,Electronics,2024-01-02,1052.45,611.11,0.29,5,441.34
ORD-000053,East,Electronics,2024-01-05,1207.55,704.8,0.1,5,502.75
ORD-000054,East,Electronics,2024-01-04,641.4,363.41,0.06,3,277.99
ORD-000055,East,Electronics,2024-01-17,745.28,461.34,0.11,3,283.94
ORD-000056,East,Furniture,2024-01-25,660.28,408.97,0.06,4,251.31
ORD-000057,East,Electronics,2024-01-07,531.43,330.83,0.02,2,200.6
ORD-000058,East,Furniture,2024-01-15,787.53,593.55,0.02,5,193.98
ORD-000059,East,Groceries,2024-01-03,156.48,126.82,0.34,4,29.66
ORD-000060,East,Clothing,2024-01-22,181.14,115.02,0.05,3,66.12
ORD-000061,East,Furniture,2024-01-15,429.53,296.67,0.13,2,132.86
ORD-000062,East,Clothing,2024-01-08,114.76,67.86,0.15,2,46.9
ORD-000063,East,Electronics,2024-01-11,488.06,297.11,0.13,2,190.95
ORD-000064,East,Clothing,2024-01-09,140.26,91.85,0.17,2,48.41
ORD-000065,East,Electronics,2024-01-15,813.64,536.31,0.28,3,277.33
ORD-000066,East,Furniture,2024-01-18,662.2,488.0,0.07,4,174.2
ORD-000067,East,Clothing,2024-01-25,181.53,110.93,0.03,3,70.6
ORD-000068,East,Clothing,2024-01-03,149.05,80.77,0.34,3,68.28
ORD-000069,East,Clothing,2024-01-17,194.31,123.83,0.33,3,70.48
ORD-000070,East,Electronics,2024-01-17,811.91,530.59,0.06,4,281.32
ORD-000071,West,Furniture,2024-01-14,560.09,415.51,0.28,3,144.58
ORD-000072,West,Furniture,2024-01-17,335.35,212.06,0.04,2,123.29
ORD-000073,West,Electronics,2024-01-19,730.57,495.34,0.23,3,235.23
ORD-000074,West,Electronics,2024-01-26,905.1,543.0,0.13,4,362.1
ORD-000075,West,Electronics,2024-01-05,460.72,323.93,0.15,2,136.79
ORD-000076,West,Furniture,2024-01-21,164.63,126.95,0.27,1,37.68
ORD-000077,West,Furniture,2024-01-11,211.12,154.97,0.33,1,56.15
ORD-000078,West,Electronics,2024-01-24,429.3,247.66,0.21,2,181.64
ORD-000079,West,Clothing,2024-01-01,210.63,135.16,0.1,3,75.47
ORD-000080,West,Furniture,2024-01-13,379.5,291.51,0.27,2,87.99
ORD-000081,West,Electronics,2024-01-28,442.88,266.62,0.29,2,176.26
ORD-000082,West,Electronics,2024-01-28,812.76,535.42,0.03,4,277.34
ORD-000083,West,Groceries,2024-01-01,160.81,108.34,0.27,5,52.47
ORD-000084,West,Electronics,2024-01-26,234.2,132.0,0.0,1,102.2
ORD-000085,West,Electronics,2024-01-17,941.51,560.18,0.3,5,381.33
ORD-000086,West,Electronics,2024-01-23,850.42,576.31,0.24,4,274.11
ORD-000087,West,Groceries,2024-01-02,95.74,64.19,0.18,3,31.55
ORD-000088,West,Clothing,2024-01-18,162.79,88.64,0.26,3,74.15
ORD-000089,West,Electronics,2024-01-08,242.27,172.0,0.21,1,70.27
ORD-000090,West,Electronics,2024-01-18,232.9,161.88,0.25,1,71.02
ORD-000091,West,Electronics,2024-01-03,412.69,292.97,0.16,2,119.72
ORD-000092,West,Clothing,2024-01-18,124.83,67.79,0.33,2,57.04
ORD-000093,West,Electronics,2024-01-17,750.18,494.09,0.33,3,256.09
ORD-000094,West,Electronics,2024-01-15,688.21,434.6,0.04,3,253.61
ORD-000095,West,Electronics,2024-01-08,1251.65,781.44,0.21,5,470.21
ORD-000096,West,Clothing,2024-01-12,271.45,150.26,0.21,5,121.19
ORD-000097,West,Electronics,2024-01-02,1061.97,670.62,0.08,5,391.35
ORD-000098,West,Furniture,2024-01-16,342.84,247.58,0.23,2,95.26
